original_isbn,img,price,url,provider
000712774X,https://lzd-img-global.slatic.net/g/p/06431068a7b7812bc9d595e89a8bd6f9.jpg_200x200q80.jpg_.webp,61.00,https:////www.lazada.sg/products/underwear-superman-color-version-1-3-the-captain-underpants-collection-original-english-color-illustration-version-bridge-book-english-version-childrens-humor-funny-series-dog-man-detective-dog-co-author-i2479049762.html,Lazada
006057299X,https://lzd-img-global.slatic.net/g/p/370f60df13d966b9b07001c711769be3.jpg_200x200q80.jpg_.webp,22.90,https:////www.lazada.sg/products/dead-aid-why-aid-is-not-working-and-how-there-is-another-way-for-africa-by-dambisa-moyo-uk-edition-paperback-i2227485531.html,Lazada
006083756X,https://lzd-img-global.slatic.net/g/p/445cc86543b6fd8923cdad31f53d52b1.jpg_200x200q80.jpg_.webp,47.01,https:////www.lazada.sg/products/notes-of-a-native-son-9780807006238-baldwin-james-jones-edward-p-books-i3033803978.html,Lazada
006091307X,https://lzd-img-global.slatic.net/g/p/d9ef9bec43d9e36103573c7c0336474b.jpg_200x200q80.jpg_.webp,42.19,https:////www.lazada.sg/products/lot-49-farce-in-one-act-1888-by-g-von-moser-us-edition-hardcover-i2242997847.html,Lazada
006223742X,https://lzd-img-global.slatic.net/g/p/5b4f5d173f4e809d4ce3cf2ac1063f25.jpg_200x200q80.jpg_.webp,6.90,https:////www.lazada.sg/products/disney-princess-ariel-bedtime-stories-board-book-suitable-for-toddler-kids-i2886076717.html,Lazada
014034893X,https://lzd-img-global.slatic.net/g/p/6bcf78aa569405043888440e58e5ce6b.jpg_200x200q80.jpg_.webp,23.00,https:////www.lazada.sg/products/original-english-version-of-roll-of-thunder-hear-my-cry-black-cotton-field-newbury-award-novel-english-version-imported-original-english-books-i2299442892.html,Lazada
014043769X,https://lzd-img-global.slatic.net/g/p/845b9c26e5e026a75b8a1a9617956656.jpg_200x200q80.jpg_.webp,59.31,https:////www.lazada.sg/products/the-sketch-book-of-geoffrey-crayon-gent-pseud-by-washington-irving-us-edition-hardcover-i2243882559.html,Lazada
014044789X,https://lzd-img-global.slatic.net/g/p/c8a66be0adf336f689487040c690009d.png_200x200q80.png_.webp,10.64,https:////www.lazada.sg/products/milumilu-the-metamorphoses-ovid-original-english-novel-books-i2689963094.html,Lazada
014100018X,https://lzd-img-global.slatic.net/g/p/7b9622dc347229fb7229543abe790af2.jpg_200x200q80.jpg_.webp,26.81,https:////www.lazada.sg/products/chocolat-a-novel-by-joanne-harris-us-edition-paperback-i2239635831.html,Lazada
014144116X,https://lzd-img-global.slatic.net/g/p/2a52a19eb18d45514f73a4e59ef4f8d0.jpg_200x200q80.jpg_.webp,28.33,https:////www.lazada.sg/products/a-passage-to-india-by-e-m-forster-us-edition-paperback-i2239728605.html,Lazada
014200068X,https://lzd-img-global.slatic.net/g/p/9dfd9bca08910c58f7fc4ea1a724ca6f.jpg_200x200q80.jpg_.webp,43.19,https:////www.lazada.sg/products/cannery-row-by-john-steinbeck-us-edition-hardcover-i2238646861.html,Lazada
014240165X,https://lzd-img-global.slatic.net/g/p/80dc4890244657b12009976d104fe444.jpg_200x200q80.jpg_.webp,26.00,https:////www.lazada.sg/products/stormbreaker-alex-rider-book-1-stormbreaker-junior-007-series-i2806561223.html,Lazada
014303961X,https://lzd-img-global.slatic.net/g/p/2c08c7992c1ba1bae369733cca18fbe4.jpg_200x200q80.jpg_.webp,8.80,https:////www.lazada.sg/products/lady-chatterleys-lover-i344576051.html,Lazada
015204566X,https://lzd-img-global.slatic.net/g/p/cb1e958a60c2a8f1e7b8f9f1d94bb50c.jpg_200x200q80.jpg_.webp,12.99,https:////www.lazada.sg/products/beambles-mathematics-maths-bar-model-method-primary-2-math-book-2-primary-2-maths-assessment-book-i1398294274.html,Lazada
031242440X,https://lzd-img-global.slatic.net/g/p/dbfe9acc691228a6b656c27a0f558637.png_200x200q80.png_.webp,18.84,https:////www.lazada.sg/products/gilead-paperback-english-9780349012995-i2811926722.html,Lazada
031601477X,https://lzd-img-global.slatic.net/g/p/86b10d2aedc281d60cf8aaff0f40f47c.jpg_200x200q80.jpg_.webp,14.90,https:////www.lazada.sg/products/be-great-at-mathematics-secondary-1-4-secondary-mathematics-school-assessment-books-sap-i466440064.html,Lazada
033041836X,https://lzd-img-global.slatic.net/g/p/1675904c19f459e19661bb24a0870828.jpg_200x200q80.jpg_.webp,15.29,https:////www.lazada.sg/products/my-dad-is-amazing-a-hellolucky-book-by-hellolucky-us-edition-paperback-i2228077686.html,Lazada
034541005X,https://lzd-img-global.slatic.net/g/p/7bb9e02fd2c5c798989d9541987f272a.jpg_200x200q80.jpg_.webp,28.00,https:////www.lazada.sg/products/740b-kfd-power-supply-adaptor-for-asus-chromebook-vivobook-zenbook-asus-transformer-book-flip-trio-19v-273a-i2715426543.html,Lazada
034547063X,https://lzd-img-global.slatic.net/g/p/0f78b0a5c9f6ed41349bc5f47176a867.jpg_200x200q80.jpg_.webp,1.37,https:////www.lazada.sg/products/timmo-house1pc-56k-black-paper-notebook-60-pages-notepad-graffiti-sketch-book-painting-diary-notepad-drawing-office-school-stationery-gifts-i2454522058.html,Lazada
038531258X,https://lzd-img-global.slatic.net/g/p/91d448f891c07a9c9dabbd4fe57efe02.jpg_200x200q80.jpg_.webp,28.90,https:////www.lazada.sg/products/cold-sassy-tree-by-olive-ann-burns-uk-edition-paperback-i2239648605.html,Lazada
038533916X,https://lzd-img-global.slatic.net/g/p/f5680cd44d8ffa4fd8dec35ec5f95c86.jpg_200x200q80.jpg_.webp,10.90,https:////www.lazada.sg/products/primary-1-to-6-intensive-mathematics-drillsprimary-mathematics-assessment-book-i1613274359.html,Lazada
038553714X,https://lzd-img-global.slatic.net/g/p/fee91825a8024b14dfde24a72f185fdd.jpg_200x200q80.jpg_.webp,21.12,https:////www.lazada.sg/products/gray-mountain-a-bestselling-thrilling-fast-paced-suspense-story-by-john-grisham-uk-edition-paperback-i2229402268.html,Lazada
038560310X,https://lzd-img-global.slatic.net/g/p/0bdad09719207104c46e354d0e952831.jpg_200x200q80.jpg_.webp,31.00,https:////www.lazada.sg/products/house-of-leaves-book-by-mark-z-danielewski-blackbeardartbooks-i2871859588.html,Lazada
042510687X,https://lzd-img-global.slatic.net/g/p/8ffceead1eee712b37e1cb60b9bd4f23.jpg_200x200q80.jpg_.webp,18.19,https:////www.lazada.sg/products/outbreak-code-red-by-chris-ryan-uk-edition-paperback-i2231297287.html,Lazada
043402080X,https://lzd-img-global.slatic.net/g/p/dacc75e9605e0babbbd188ca5d74c092.jpg_200x200q80.jpg_.webp,17.60,https:////www.lazada.sg/products/the-king-and-the-magician-i1681646865.html,Lazada
043977134X,https://lzd-img-global.slatic.net/g/p/8556ccac1c8de374a4517dc278a92572.jpg_200x200q80.jpg_.webp,11.38,https:////www.lazada.sg/products/gregor-the-overlander-by-suzanne-collins-uk-edition-paperback-i2171061265.html,Lazada
044024191X,https://lzd-img-global.slatic.net/g/p/7dd4b4292b20ddc3fe51fd973237c534.jpg_200x200q80.jpg_.webp,6.96,https:////www.lazada.sg/products/ready-stockwiley-investment-classicsreminiscences-of-a-stock-operator-by-edwin-lefevre-business-books-investment-book-popular-highly-recommended-financial-wealth-management-reading-materials-for-investors-gifts-years-of-experience-in-the-market-i2110739224.html,Lazada
044101268X,https://lzd-img-global.slatic.net/g/p/2f7aba5e3c6692fa2f7519caad233fe5.jpg_200x200q80.jpg_.webp,22.67,https:////www.lazada.sg/products/furies-of-calderon-the-codex-alera-book-one-by-jim-butcher-uk-edition-paperback-i2231216439.html,Lazada
044101769X,https://lzd-img-global.slatic.net/g/p/ba156d09e0e170df7bbab95cf3c8d48c.jpg_200x200q80.jpg_.webp,24.69,https:////www.lazada.sg/products/first-lords-fury-the-codex-alera-book-six-by-jim-butcher-uk-edition-paperback-i2231265187.html,Lazada
044101819X,https://lzd-img-global.slatic.net/g/p/37b1f11248aa171472f56be3b7a347c7.jpg_200x200q80.jpg_.webp,59.90,https:////www.lazada.sg/products/38-acoustic-guitar-for-beginners-i141943301.html,Lazada
044669651X,https://lzd-img-global.slatic.net/g/p/c1e11f909d2a7bbf3ea77c08a2721370.jpg_200x200q80.jpg_.webp,16.86,https:////www.lazada.sg/products/the-true-believer-thoughts-on-the-nature-of-mass-movements-by-eric-hoffer-us-edition-paperback-i2049249587.html,Lazada
045146091X,https://lzd-img-global.slatic.net/g/p/5003649d9d7ee68e589ae5a92aee104d.jpg_200x200q80.jpg_.webp,19.90,https:////www.lazada.sg/products/dead-beat-by-val-mcdermid-uk-edition-paperback-i2239681643.html,Lazada
